label,text,cleaned_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",jurong point crazy available bugis great world la buffet Cine get amore wat
ham,Ok lar... Joking wif u oni...,ok lar joke wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry wkly comp win FA Cup final tkts text FA receive entry questionstd txt rateTC apply over
ham,U dun say so early hor... U c already then say...,dun early hor
ham,"Nah I don't think he goes to usf, he lives around here though",nah think go usf live
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",FreeMsg hey darle week word like fun tb ok XxX std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press copy friend Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER value network customer select receivea prize reward claim claim code KL valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile month entitle update late colour mobile camera Free Mobile Update Co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",go to home soon want talk stuff anymore tonight cry today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",chance win cash pound txt CSH send cost day days TsandCs apply Reply HL info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent win week free membership Prize Jackpot txt word claim TC wwdbuknet LCCLTD POBOX ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,search right word thank breather promise will not help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date SUNDAY
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxmobilemovieclub use credit click WAP link txt message click httpwap xxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),oh im watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh remember spell yes naughty wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine that way feel thats way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",England Macedonia not miss goal team news txt ur national team eg ENGLAND Try WALES SCOTLAND txt poboxoxwwq
ham,Is that seriously how you spell his name?,seriously spell
ham,IÛ÷m going to try for 2 months ha ha only joking,im go try month ha ha joke
ham,So Ì_ pay first lar... Then when is da stock comin...,pay lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch str lor ard smth lor finish ur lunch
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ff alright way meet soon
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,force eat slice hungry tho suck Mark get worried know sick turn pizza lol
ham,Lol your always so convincing.,lol convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus fry egg tea eat mom leave dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",amp pack car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait clear sure sarcastic want live
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah get apologetic fall actin like spoil child get catch till will badly cheer
ham,K tell me anything about you.,tell
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework Quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscription Ringtone UK mobile charge month confirm reply YES reply charge
